x,y,z,u,v,w,vel_mag,rho,press,fluid,ThID
0.620690, 0.137931, 0.000000, -0.000000, 0.002215, -0.000000, 0.002215, 25.873299, 8.624433, 1, 0
0.655172, 0.137931, 0.000000, -0.000000, 0.002215, -0.000000, 0.002215, 25.873299, 8.624433, 1, 0
0.689655, 0.137931, 0.000000, -0.000000, 0.002215, -0.000000, 0.002215, 25.873299, 8.624433, 1, 0
0.724138, 0.137931, 0.000000, 0.000000, 0.001916, -0.000000, 0.001916, 25.834032, 8.611344, 1, 0
0.758621, 0.137931, 0.000000, -0.000000, 0.004060, 0.000000, 0.004060, 25.905266, 8.635089, 1, 0
0.793103, 0.137931, 0.000000, -0.000000, 0.002344, 0.000000, 0.002344, 24.947400, 8.315800, 1, 0
0.827586, 0.137931, 0.000000, 0.000000, -0.007092, 0.000000, 0.007092, 24.107599, 8.035866, 1, 0
0.862069, 0.137931, 0.000000, 0.000000, 0.000709, 0.000000, 0.000709, 25.795666, 8.598555, 1, 0
0.896552, 0.137931, 0.000000, -0.000000, 0.010125, -0.000000, 0.010125, 25.275678, 8.425226, 1, 0
0.931034, 0.137931, 0.000000, -0.000000, -0.036518, 0.000000, 0.036518, 21.907312, 7.302437, 1, 0
0.965517, 0.137931, 0.000000, 0.000000, -0.019672, 0.000000, 0.019672, 43.082986, 14.360995, 1, 0
1.000000, 0.137931, 0.000000, 0.000000, 0.001972, -0.000000, 0.001972, 48.999877, 16.333292, 1, 0
0.000000, 0.172414, 0.000000, 0.000000, 0.002337, 0.000000, 0.002337, 5.179250, 1.726417, 1, 0
0.034483, 0.172414, 0.000000, 0.000000, -0.010308, -0.000000, 0.010308, 4.735381, 1.578460, 1, 0
0.068966, 0.172414, 0.000000, 0.000000, -0.044172, 0.000000, 0.044172, 5.560099, 1.853366, 1, 0
0.103448, 0.172414, 0.000000, 0.000000, -0.024197, -0.000000, 0.024197, 8.485613, 2.828538, 1, 0
0.137931, 0.172414, 0.000000, -0.000000, -0.029099, 0.000000, 0.029099, 10.931211, 3.643737, 1, 0
0.172414, 0.172414, 0.000000, 0.000000, -0.029260, -0.000000, 0.029260, 14.383664, 4.794555, 1, 0
0.206897, 0.172414, 0.000000, 0.000000, -0.018249, -0.000000, 0.018249, 18.158915, 6.052972, 1, 0
0.241379, 0.172414, 0.000000, -0.000000, -0.006446, -0.000000, 0.006446, 22.022372, 7.340791, 1, 0
0.275862, 0.172414, 0.000000, -0.000000, -0.002878, 0.000000, 0.002878, 24.124800, 8.041600, 1, 0
0.310345, 0.172414, 0.000000, -0.000000, -0.002059, 0.000000, 0.002059, 24.668974, 8.222991, 1, 0
0.344828, 0.172414, 0.000000, -0.000000, -0.002059, 0.000000, 0.002059, 24.668974, 8.222991, 1, 0
0.379310, 0.172414, 0.000000, -0.000000, -0.002059, 0.000000, 0.002059, 24.668974, 8.222991, 1, 0
0.413793, 0.172414, 0.000000, -0.000000, -0.002059, 0.000000, 0.002059, 24.668974, 8.222991, 1, 0
0.448276, 0.172414, 0.000000, -0.000000, -0.002059, 0.000000, 0.002059, 24.668974, 8.222991, 1, 0
0.482759, 0.172414, 0.000000, -0.000000, -0.002059, 0.000000, 0.002059, 24.668974, 8.222991, 1, 0
0.517241, 0.172414, 0.000000, -0.000000, -0.002059, 0.000000, 0.002059, 24.668974, 8.222991, 1, 0
0.551724, 0.172414, 0.000000, -0.000000, -0.002059, 0.000000, 0.002059, 24.668974, 8.222991, 1, 0
0.586207, 0.172414, 0.000000, -0.000000, -0.002059, 0.000000, 0.002059, 24.668974, 8.222991, 1, 0
0.620690, 0.172414, 0.000000, -0.000000, -0.002059, 0.000000, 0.002059, 24.668974, 8.222991, 1, 0
0.655172, 0.172414, 0.000000, -0.000000, -0.002059, 0.000000, 0.002059, 24.668974, 8.222991, 1, 0
0.689655, 0.172414, 0.000000, -0.000000, -0.002059, 0.000000, 0.002059, 24.668974, 8.222991, 1, 0
0.724138, 0.172414, 0.000000, -0.000000, -0.002310, -0.000000, 0.002310, 24.668127, 8.222709, 1, 0
0.758621, 0.172414, 0.000000, 0.000000, 0.000107, -0.000000, 0.000107, 24.983609, 8.327870, 1, 0
0.793103, 0.172414, 0.000000, 0.000000, 0.000169, -0.000000, 0.000169, 25.144490, 8.381497, 1, 0
0.827586, 0.172414, 0.000000, 0.000000, -0.005056, -0.000000, 0.005056, 25.341432, 8.447144, 1, 0
0.862069, 0.172414, 0.000000, 0.000000, 0.002255, -0.000000, 0.002255, 26.631312, 8.877104, 1, 0
