  ID  j  METAF[j]  F[j]
 1836  6 0.51908 0.51908
 1836  7 0.32998 0.32998
 1836  8 0.20419 0.20419
 1836  9 0.00000 0.00000
 1836 10 0.00000 0.00000
 1836 11 0.00000 0.00000
 1836 12 0.00000 0.00000
 1836 13 0.00000 0.00000
 1836 14 0.00000 0.00000
 1836 15 0.00000 0.00000
 1836 16 0.00000 0.00000
 1836 17 0.00000 0.00000
 1836 18 0.00000 0.00000
 1837  0 3.11447 3.11447
 1837  1 0.65996 0.65996
 1837  2 0.40839 0.40839
 1837  3 0.51908 0.51908
 1837  4 0.51908 0.51908
 1837  5 0.51908 0.51908
 1837  6 0.51908 0.51908
 1837  7 0.32998 0.32998
 1837  8 0.20419 0.20419
 1837  9 0.00000 0.00000
 1837 10 0.00000 0.00000
 1837 11 0.00000 0.00000
 1837 12 0.00000 0.00000
 1837 13 0.00000 0.00000
 1837 14 0.00000 0.00000
 1837 15 0.00000 0.00000
 1837 16 0.00000 0.00000
 1837 17 0.00000 0.00000
 1837 18 0.00000 0.00000
 1838  0 3.11447 3.11447
 1838  1 0.65996 0.65996
 1838  2 0.40839 0.40839
 1838  3 0.51908 0.51908
 1838  4 0.51908 0.51908
 1838  5 0.51908 0.51908
 1838  6 0.51908 0.51908
 1838  7 0.32998 0.32998
 1838  8 0.20419 0.20419
 1838  9 0.00000 0.00000
 1838 10 0.00000 0.00000
 1838 11 0.00000 0.00000
 1838 12 0.00000 0.00000
 1838 13 0.00000 0.00000
 1838 14 0.00000 0.00000
 1838 15 0.00000 0.00000
 1838 16 0.00000 0.00000
 1838 17 0.00000 0.00000
 1838 18 0.00000 0.00000
 1839  0 3.11447 3.11447
 1839  1 0.65996 0.65996
 1839  2 0.40839 0.40839
 1839  3 0.51908 0.51908
 1839  4 0.51908 0.51908
 1839  5 0.51908 0.51908
 1839  6 0.51908 0.51908
 1839  7 0.32998 0.32998
 1839  8 0.20419 0.20419
 1839  9 0.00000 0.00000
 1839 10 0.00000 0.00000
 1839 11 0.00000 0.00000
 1839 12 0.00000 0.00000
 1839 13 0.00000 0.00000
 1839 14 0.00000 0.00000
 1839 15 0.00000 0.00000
 1839 16 0.00000 0.00000
 1839 17 0.00000 0.00000
 1839 18 0.00000 0.00000
  930  0 1.27329 1.27329
  930  1 0.31038 0.23749
  930  2 0.31038 0.23749
  930  3 0.21222 0.03593
  930  4 0.21222 0.21222
  930  5 0.21222 0.10598
  930  6 0.21222 0.21222
  930  7 0.33626 0.08814
  930  8 0.15519 0.32878
  930  9 0.00000 0.24064
  930 10 0.00000 0.00000
  930 11 0.00000 0.05312
  930 12 0.00000 0.00000
  930 13 0.00000 -0.05312
  930 14 0.00000 0.00000
  930 15 0.00000 0.00000
  930 16 0.00000 0.00000
  930 17 0.00000 0.00000
  930 18 0.00000 0.00000
  931  0 1.48865 1.48865
  931  1 0.25173 0.31038
  931  2 0.23749 0.23749
  931  3 0.28876 0.19843
  931  4 0.20965 0.20965
  931  5 0.24811 0.24374
  931  6 0.24811 0.24811
  931  7 0.14949 0.24812
  931  8 0.10281 0.32878
  931  9 0.00000 0.00000
  931 10 0.00000 0.00000
  931 11 0.00000 0.00000
  931 12 0.00000 0.00000
  931 13 0.00000 0.00000
  931 14 0.00000 0.00000
  931 15 0.00000 0.00000
  931 16 0.00000 0.00000
  931 17 0.00000 0.00000
  931 18 0.00000 0.00000
  932  0 1.48865 1.48865
  932  1 0.25173 0.25173
  932  2 0.23749 0.23749
  932  3 0.28876 0.19843
  932  4 0.20965 0.20965
  932  5 0.24811 0.24374
  932  6 0.24811 0.24811
  932  7 0.14949 0.39613
  932  8 0.10281 0.32878
  932  9 0.00000 0.00000
  932 10 0.00000 0.00000
  932 11 0.00000 0.00000
  932 12 0.00000 0.00000
  932 13 0.00000 0.00000
  932 14 0.00000 0.00000
  932 15 0.00000 0.00000
  932 16 0.00000 0.00000
  932 17 0.00000 0.00000
  932 18 0.00000 0.00000
  933  0 1.48865 1.48865
  933  1 0.25173 0.25173
  933  2 0.23749 0.23749
  933  3 0.28876 0.19843
  933  4 0.20965 0.20965
  933  5 0.24811 0.24374
  933  6 0.24811 0.24811
  933  7 0.14949 0.39613
  933  8 0.10281 0.32878
  933  9 0.00000 0.00000
  933 10 0.00000 0.00000
  933 11 0.00000 0.00000
  933 12 0.00000 0.00000
  933 13 0.00000 0.00000
  933 14 0.00000 0.00000
  933 15 0.00000 0.00000
  933 16 0.00000 0.00000
  933 17 0.00000 0.00000
  933 18 0.00000 0.00000
  934  0 1.48865 1.48865
  934  1 0.25173 0.25173
  934  2 0.23749 0.23749
  934  3 0.28876 0.19843
  934  4 0.20965 0.20965
  934  5 0.24811 0.24374
  934  6 0.24811 0.24811
