"u","v","w","vel_mag","f00","f01","f02","f03","f04","f05","f06","f07","f08","f09","f10","f11","f12","f13","f14","f15","f16","f17","f18","rho","press","fluid","ThID","Points:0","Points:1","Points:2"
0.44024,0.42419,0.000169,0.61135,0.78718,3.5585,-0.65551,3.4546,-0.21498,-0.35052,-0.093652,4.6611,2.7067,4.6455,2.7571,1.6272,-0.36729,1.7079,-0.40521,1.9754,0.083044,2.0352,-0.28104,27.631,9.2104,1,0,0.89655,0.24138,0.068966
0.58758,0.55281,-0.041623,0.80783,2.2413,3.826,-0.10173,3.5365,-0.16982,-0.56597,0.40121,5.741,1.1535,5.7908,1.1211,1.6331,-0.32852,1.8123,-0.21396,1.5482,0.14874,1.7231,-0.070691,29.226,9.742,1,0,0.86207,0.24138,0.068966
0.56763,0.54901,-0.1157,0.79813,0.93234,3.0924,-0.31337,3.1035,-0.22487,0.94173,0.58192,4.5404,1.0267,4.4894,1.0736,0.74481,-0.28919,2.152,-0.13611,0.60284,-0.22212,2.0453,-0.081207,24.06,8.02,1,0,0.86207,0.2069,0.034483
0.4377,0.42074,-0.000242,0.60713,0.78718,3.5585,-0.65551,3.4885,-0.21498,-0.35052,-0.093652,4.6455,2.7571,4.6455,2.7571,1.6272,-0.36729,1.7079,-0.40521,1.9401,0.083044,2.0113,-0.28104,27.641,9.2136,1,0,0.89655,0.27586,0.068966
0.4377,0.42074,-0.000242,0.60713,0.78718,3.5585,-0.65551,3.4885,-0.21498,-0.35052,-0.093652,4.6455,2.7571,4.6455,2.7571,1.6272,-0.36729,1.7079,-0.40521,1.9401,0.083044,2.0113,-0.28104,27.641,9.2136,1,0,0.89655,0.31034,0.068966
0.64109,0.70616,-0.038056,0.95452,-2.1035,3.4627,-0.74333,4.9118,-0.39884,-0.53762,0.15329,5.2571,1.1569,5.2571,1.1569,1.7419,0.050535,2.0643,-0.23449,2.0792,-0.010994,2.3865,-0.073219,25.576,8.5254,1,0,0.93103,0.34483,0.068966
0.4377,0.42074,-0.000242,0.60713,0.78718,3.5585,-0.65551,3.4885,-0.21498,-0.35052,-0.093652,4.6455,2.7571,4.6455,2.7571,1.6272,-0.36729,1.7079,-0.40521,1.9401,0.083044,2.0113,-0.28104,27.641,9.2136,1,0,0.89655,0.34483,0.068966
0.49266,0.48573,-0.051634,0.69377,0.93711,3.0861,-0.48652,3.3563,-0.16342,0.92077,0.17015,4.3553,1.5515,4.3553,1.5515,0.71765,0.28936,2.0405,-0.39876,0.55422,-0.1576,1.9072,-0.132,24.455,8.1515,1,0,0.89655,0.31034,0.034483
0.45649,0.55973,-0.1423,0.73616,3.6513,3.2963,1.1581,3.5968,-0.07048,1.0815,0.99698,5.0317,0.056272,5.0317,0.056272,0.49874,0.25067,2.6212,0.59778,0.75423,0.002022,3.0428,-0.19517,31.459,10.486,1,0,0.96552,0.37931,0.034483
0.64109,0.70616,-0.038056,0.95452,-2.1035,3.4627,-0.74333,4.9118,-0.39884,-0.53762,0.15329,5.2571,1.1569,5.2571,1.1569,1.7419,0.050535,2.0643,-0.23449,2.0792,-0.010994,2.3865,-0.073219,25.576,8.5254,1,0,0.93103,0.37931,0.068966
0.57275,0.60513,-0.078224,0.83686,3.8788,4.536,1.1299,4.7261,-0.12629,-0.15523,1.1301,7.3774,-0.096242,7.3774,-0.096242,1.8045,-0.094391,2.0223,0.72767,1.3276,0.10281,1.8942,0.15383,37.62,12.54,1,0,0.96552,0.41379,0.068966
0.64109,0.70616,-0.038056,0.95452,-2.1035,3.4627,-0.74333,4.9118,-0.39884,-0.53762,0.15329,5.2571,1.1569,5.2571,1.1569,1.7419,0.050535,2.0643,-0.23449,2.0792,-0.010994,2.3865,-0.073219,25.576,8.5254,1,0,0.93103,0.41379,0.068966
0.60372,0.67287,-0.044695,0.90512,0.20138,2.8576,-0.48449,3.7354,-0.2417,1.0373,-0.42025,4.3771,0.76643,4.3771,0.76643,0.79508,0.20883,1.9228,-0.46632,0.57693,-0.08422,2.8649,-0.36488,22.425,7.4751,1,0,0.93103,0.37931,0.034483
0.57275,0.60513,-0.078224,0.83686,3.8788,4.536,1.1299,4.7261,-0.12629,-0.15523,1.1301,7.3774,-0.096242,7.3774,-0.096242,1.8045,-0.094391,2.0223,0.72767,1.3276,0.10281,1.8942,0.15383,37.62,12.54,1,0,0.96552,0.44828,0.068966
-0,0,0,0,10.166,2.8489,2.8489,1.6944,1.6944,1.1362,2.1425,3.4197,3.4197,3.4197,3.4197,0.17948,3.7306,2.7243,-0.82683,0.5681,0.5681,1.0712,1.0712,45.297,15.099,1,0,1,0.48276,0.034483
0.57275,0.60513,-0.078224,0.83686,3.8788,4.536,1.1299,4.7261,-0.12629,-0.15523,1.1301,7.3774,-0.096242,7.3774,-0.096242,1.8045,-0.094391,2.0223,0.72767,1.3276,0.10281,1.8942,0.15383,37.62,12.54,1,0,0.96552,0.48276,0.068966
0,0,0,0,11.76,3.9434,3.9434,1.96,1.96,1.7681,1.7945,4.7223,4.7223,4.7223,4.7223,1.4783,1.5771,1.5508,1.4519,0.88407,0.88407,0.89724,0.89724,55.64,18.547,1,0,1,0.51724,0.068966
0.57275,0.60513,-0.078224,0.83686,3.8788,4.536,1.1299,4.7261,-0.12629,-0.15523,1.1301,7.3774,-0.096242,7.3774,-0.096242,1.8045,-0.094391,2.0223,0.72767,1.3276,0.10281,1.8942,0.15383,37.62,12.54,1,0,0.96552,0.51724,0.068966
0.45649,0.55973,-0.1423,0.73616,3.6513,3.2963,1.1581,3.5968,-0.07048,1.0815,0.99698,5.0317,0.056272,5.0317,0.056272,0.49874,0.25067,2.6212,0.59778,0.75423,0.002022,3.0428,-0.19517,31.459,10.486,1,0,0.96552,0.48276,0.034483
-0,0,0,0,10.166,2.8489,2.8489,1.6944,1.6944,1.1362,2.1425,3.4197,3.4197,3.4197,3.4197,0.17948,3.7306,2.7243,-0.82683,0.5681,0.5681,1.0712,1.0712,45.297,15.099,1,0,1,0.51724,0.034483
2.0764,1.6894,0.022387,2.6769,-5.6936,2.855,-0.024615,1.8653,0.064302,-0.99801,-1.0548,0.052654,-1.7524,3.7446,0.60073,1.5194,0.20733,1.7148,-0.008977,1.0543,0.035737,1.0607,-0.010133,5.2323,1.7441,1,0,0.75862,0.034483,0.10345
0.42724,0.33294,-0.00398,0.54167,3.5256,3.6128,-0.069742,2.062,-0.30362,0.71056,0.55365,6.9491,3.9152,5.3655,1.6678,1.8652,-0.011732,1.9573,-0.004821,0.7152,-0.027378,1.073,-0.19458,33.361,11.12,1,0,0.7931,0.068966,0.10345
0.43942,0.34798,-0.003143,0.56053,3.5517,3.6128,0.048999,2.0785,-0.34131,0.66862,0.49446,6.9491,3.7861,5.3655,1.472,1.8652,-0.043822,1.9573,-0.022068,0.73343,-0.027863,1.0609,-0.19135,33.018,11.006,1,0,0.75862,0.068966,0.10345
2.7401,2.0257,-0.011235,3.4076,-6.8092,3.431,0.2533,1.9447,-0.012943,-1.3879,-0.85239,0.064298,-1.8327,3.9169,0.59079,1.8538,0.058665,1.4629,-0.17363,0.73253,0.1047,0.95623,0.017221,4.3183,1.4394,1,0,0.75862,0.034483,0.068966
0.65917,0.64289,-0.007114,0.9208,-0.5133,3.4106,-0.38721,3.4393,-0.19761,-0.072713,-0.18702,3.2736,-0.047361,5.0608,1.5501,1.5968,-0.11754,1.773,-0.14988,1.5571,-0.013493,1.7716,-0.10356,21.643,7.2144,1,0,0.7931,0.10345,0.10345
0.65502,0.65324,0.005155,0.9251,-0.25947,3.5564,-0.05354,3.4477,-0.25186,0.011689,-0.12078,5.6858,0.64276,5.1002,0.84038,1.8018,0.089249,1.902,-0.1589,1.5812,-0.035385,1.8583,-0.16338,25.474,8.4914,1,0,0.82759,0.13793,0.10345
0.52212,0.4983,-0.006776,0.72178,1.1762,3.5816,-0.2885,3.381,-0.21406,0.32127,0.28127,5.9408,2.1187,5.2069,1.3899,1.8087,-0.09316,1.9213,-0.12906,1.5466,-0.023822,1.8191,-0.13233,29.612,9.8708,1,0,0.7931,0.13793,0.10345
0.66841,0.65311,-0.042249,0.93548,-0.98302,3.5361,-0.47896,3.6021,-0.2315,-0.91523,0.058655,3.5023,-0.032715,5.362,1.7861,1.6255,0.05726,1.7754,-0.12643,1.5517,0.10669,1.7566,-0.11576,21.837,7.2789,1,0,0.7931,0.10345,0.068966
0.58804,0.62411,0.005072,0.85751,0.29697,3.4358,-0.045584,3.8132,-0.2637,0.095541,-0.097021,4.8067,0.99291,5.2186,0.80525,1.782,0.070007,1.8582,-0.15237,1.7552,-0.045473,2.0941,-0.17881,26.242,8.7472,1,0,0.82759,0.17241,0.10345
0.60929,0.62958,0.004323,0.87615,0.20943,3.496,-0.026364,3.6686,-0.26841,0.077417,-0.070506,5.1667,0.88001,5.1929,0.80544,1.8195,0.076469,1.9179,-0.1486,1.7034,-0.047225,1.9972,-0.18004,26.27,8.7566,1,0,0.82759,0.2069,0.10345
0.4658,0.4575,-6.1e-05,0.6529,2.0713,3.5934,-0.18777,3.479,-0.13258,0.46868,0.17921,5.2823,1.8301,5.3106,1.8655,1.8317,0.11883,1.9584,-0.067136,1.4763,0.022668,2.0234,-0.1738,30.95,10.317,1,0,0.86207,0.24138,0.10345
0.61543,0.638,0.00522,0.88647,0.13993,3.4918,-0.024504,3.6653,-0.26841,0.059884,-0.085226,5.225,0.81372,5.1929,0.80544,1.8129,0.077929,1.9113,-0.15264,1.7358,-0.047225,2.0092,-0.18004,26.183,8.7277,1,0,0.82759,0.24138,0.10345
0.64886,0.66434,-0.031832,0.92918,-0.26508,3.7179,-0.017819,3.9386,-0.32751,-0.65054,0.17424,5.473,0.72798,5.4749,0.69133,1.6937,0.086112,1.8066,-0.062681,1.5233,0.13059,1.8196,-0.13346,25.801,8.6002,1,0,0.82759,0.2069,0.068966
