Printing from thread 0
   ID   |  i |  j |  k ||    x    |    y    |    z
Printing from thread 1
   ID   |  i |  j |  k ||    x    |    y    |    z
Printing from thread 2
   ID   |  i |  j |  k ||    x    |    y    |    z
Printing from thread 3
   ID   |  i |  j |  k ||    x    |    y    |    z
Printing from thread 4
   ID   |  i |  j |  k ||    x    |    y    |    z
  26367 |26367 |-790131 | 29 || 0.93103 | 0.27586 | 1.00000 
  26368 |26368 |-790161 | 29 || 0.96552 | 0.27586 | 1.00000 
  26371 |26371 |-790250 | 29 || 0.03448 | 0.31034 | 1.00000 
  26372 |26372 |-790280 | 29 || 0.06897 | 0.31034 | 1.00000 
  26373 |26373 |-790310 | 29 || 0.10345 | 0.31034 | 1.00000 
  26374 |26374 |-790340 | 29 || 0.13793 | 0.31034 | 1.00000 
  26375 |26375 |-790370 | 29 || 0.17241 | 0.31034 | 1.00000 
  26376 |26376 |-790400 | 29 || 0.20690 | 0.31034 | 1.00000 
  26377 |26377 |-790430 | 29 || 0.24138 | 0.31034 | 1.00000 
  26378 |26378 |-790460 | 29 || 0.27586 | 0.31034 | 1.00000 
  26379 |26379 |-790490 | 29 || 0.31034 | 0.31034 | 1.00000 
  26380 |26380 |-790520 | 29 || 0.34483 | 0.31034 | 1.00000 
  26381 |26381 |-790550 | 29 || 0.37931 | 0.31034 | 1.00000 
  26382 |26382 |-790580 | 29 || 0.41379 | 0.31034 | 1.00000 
  26383 |26383 |-790610 | 29 || 0.44828 | 0.31034 | 1.00000 
  26384 |26384 |-790640 | 29 || 0.48276 | 0.31034 | 1.00000 
  26385 |26385 |-790670 | 29 || 0.51724 | 0.31034 | 1.00000 
  26386 |26386 |-790700 | 29 || 0.55172 | 0.31034 | 1.00000 
  26387 |26387 |-790730 | 29 || 0.58621 | 0.31034 | 1.00000 
  26388 |26388 |-790760 | 29 || 0.62069 | 0.31034 | 1.00000 
  26389 |26389 |-790790 | 29 || 0.65517 | 0.31034 | 1.00000 
  26390 |26390 |-790820 | 29 || 0.68966 | 0.31034 | 1.00000 
  26391 |26391 |-790850 | 29 || 0.72414 | 0.31034 | 1.00000 
  26392 |26392 |-790880 | 29 || 0.75862 | 0.31034 | 1.00000 
  26393 |26393 |-790910 | 29 || 0.79310 | 0.31034 | 1.00000 
  26394 |26394 |-790940 | 29 || 0.82759 | 0.31034 | 1.00000 
  26395 |26395 |-790970 | 29 || 0.86207 | 0.31034 | 1.00000 
  26396 |26396 |-791000 | 29 || 0.89655 | 0.31034 | 1.00000 
  26397 |26397 |-791030 | 29 || 0.93103 | 0.31034 | 1.00000 
  26398 |26398 |-791060 | 29 || 0.96552 | 0.31034 | 1.00000 
  26401 |26401 |-791149 | 29 || 0.03448 | 0.34483 | 1.00000 
  26402 |26402 |-791179 | 29 || 0.06897 | 0.34483 | 1.00000 
  26403 |26403 |-791209 | 29 || 0.10345 | 0.34483 | 1.00000 
  26404 |26404 |-791239 | 29 || 0.13793 | 0.34483 | 1.00000 
  26405 |26405 |-791269 | 29 || 0.17241 | 0.34483 | 1.00000 
  26406 |26406 |-791299 | 29 || 0.20690 | 0.34483 | 1.00000 
  26407 |26407 |-791329 | 29 || 0.24138 | 0.34483 | 1.00000 
  26408 |26408 |-791359 | 29 || 0.27586 | 0.34483 | 1.00000 
  26409 |26409 |-791389 | 29 || 0.31034 | 0.34483 | 1.00000 
  26410 |26410 |-791419 | 29 || 0.34483 | 0.34483 | 1.00000 
  26411 |26411 |-791449 | 29 || 0.37931 | 0.34483 | 1.00000 
  26412 |26412 |-791479 | 29 || 0.41379 | 0.34483 | 1.00000 
  26413 |26413 |-791509 | 29 || 0.44828 | 0.34483 | 1.00000 
  26414 |26414 |-791539 | 29 || 0.48276 | 0.34483 | 1.00000 
  26415 |26415 |-791569 | 29 || 0.51724 | 0.34483 | 1.00000 
  26416 |26416 |-791599 | 29 || 0.55172 | 0.34483 | 1.00000 
  26417 |26417 |-791629 | 29 || 0.58621 | 0.34483 | 1.00000 
  26418 |26418 |-791659 | 29 || 0.62069 | 0.34483 | 1.00000 
  26419 |26419 |-791689 | 29 || 0.65517 | 0.34483 | 1.00000 
  26420 |26420 |-791719 | 29 || 0.68966 | 0.34483 | 1.00000 
  26421 |26421 |-791749 | 29 || 0.72414 | 0.34483 | 1.00000 
  26422 |26422 |-791779 | 29 || 0.75862 | 0.34483 | 1.00000 
  26423 |26423 |-791809 | 29 || 0.79310 | 0.34483 | 1.00000 
  26424 |26424 |-791839 | 29 || 0.82759 | 0.34483 | 1.00000 
  26425 |26425 |-791869 | 29 || 0.86207 | 0.34483 | 1.00000 
  26426 |26426 |-791899 | 29 || 0.89655 | 0.34483 | 1.00000 
  26427 |26427 |-791929 | 29 || 0.93103 | 0.34483 | 1.00000 
  26428 |26428 |-791959 | 29 || 0.96552 | 0.34483 | 1.00000 
  26431 |26431 |-792048 | 29 || 0.03448 | 0.37931 | 1.00000 
  26432 |26432 |-792078 | 29 || 0.06897 | 0.37931 | 1.00000 
  26433 |26433 |-792108 | 29 || 0.10345 | 0.37931 | 1.00000 
  26434 |26434 |-792138 | 29 || 0.13793 | 0.37931 | 1.00000 
  26435 |26435 |-792168 | 29 || 0.17241 | 0.37931 | 1.00000 
  26436 |26436 |-792198 | 29 || 0.20690 | 0.37931 | 1.00000 
  26437 |26437 |-792228 | 29 || 0.24138 | 0.37931 | 1.00000 
  26438 |26438 |-792258 | 29 || 0.27586 | 0.37931 | 1.00000 
  26439 |26439 |-792288 | 29 || 0.31034 | 0.37931 | 1.00000 
  26440 |26440 |-792318 | 29 || 0.34483 | 0.37931 | 1.00000 
  26441 |26441 |-792348 | 29 || 0.37931 | 0.37931 | 1.00000 
  26442 |26442 |-792378 | 29 || 0.41379 | 0.37931 | 1.00000 
  26443 |26443 |-792408 | 29 || 0.44828 | 0.37931 | 1.00000 
  26444 |26444 |-792438 | 29 || 0.48276 | 0.37931 | 1.00000 
  26445 |26445 |-792468 | 29 || 0.51724 | 0.37931 | 1.00000 
  26446 |26446 |-792498 | 29 || 0.55172 | 0.37931 | 1.00000 
  26447 |26447 |-792528 | 29 || 0.58621 | 0.37931 | 1.00000 
  26448 |26448 |-792558 | 29 || 0.62069 | 0.37931 | 1.00000 
  26449 |26449 |-792588 | 29 || 0.65517 | 0.37931 | 1.00000 
  26450 |26450 |-792618 | 29 || 0.68966 | 0.37931 | 1.00000 
  26451 |26451 |-792648 | 29 || 0.72414 | 0.37931 | 1.00000 
  26452 |26452 |-792678 | 29 || 0.75862 | 0.37931 | 1.00000 
  26453 |26453 |-792708 | 29 || 0.79310 | 0.37931 | 1.00000 
  26454 |26454 |-792738 | 29 || 0.82759 | 0.37931 | 1.00000 
  26455 |26455 |-792768 | 29 || 0.86207 | 0.37931 | 1.00000 
  26456 |26456 |-792798 | 29 || 0.89655 | 0.37931 | 1.00000 
  26457 |26457 |-792828 | 29 || 0.93103 | 0.37931 | 1.00000 
  26458 |26458 |-792858 | 29 || 0.96552 | 0.37931 | 1.00000 
  26461 |26461 |-792947 | 29 || 0.03448 | 0.41379 | 1.00000 
  26462 |26462 |-792977 | 29 || 0.06897 | 0.41379 | 1.00000 
  26463 |26463 |-793007 | 29 || 0.10345 | 0.41379 | 1.00000 
  26464 |26464 |-793037 | 29 || 0.13793 | 0.41379 | 1.00000 
  26465 |26465 |-793067 | 29 || 0.17241 | 0.41379 | 1.00000 
  26466 |26466 |-793097 | 29 || 0.20690 | 0.41379 | 1.00000 
  26467 |26467 |-793127 | 29 || 0.24138 | 0.41379 | 1.00000 
  26468 |26468 |-793157 | 29 || 0.27586 | 0.41379 | 1.00000 
  26469 |26469 |-793187 | 29 || 0.31034 | 0.41379 | 1.00000 
  26470 |26470 |-793217 | 29 || 0.34483 | 0.41379 | 1.00000 
  26471 |26471 |-793247 | 29 || 0.37931 | 0.41379 | 1.00000 
  26472 |26472 |-793277 | 29 || 0.41379 | 0.41379 | 1.00000 
  26473 |26473 |-793307 | 29 || 0.44828 | 0.41379 | 1.00000 
  26474 |26474 |-793337 | 29 || 0.48276 | 0.41379 | 1.00000 
  26475 |26475 |-793367 | 29 || 0.51724 | 0.41379 | 1.00000 
  26476 |26476 |-793397 | 29 || 0.55172 | 0.41379 | 1.00000 
  26477 |26477 |-793427 | 29 || 0.58621 | 0.41379 | 1.00000 
  26478 |26478 |-793457 | 29 || 0.62069 | 0.41379 | 1.00000 
  26479 |26479 |-793487 | 29 || 0.65517 | 0.41379 | 1.00000 
  26480 |26480 |-793517 | 29 || 0.68966 | 0.41379 | 1.00000 
  26481 |26481 |-793547 | 29 || 0.72414 | 0.41379 | 1.00000 
  26482 |26482 |-793577 | 29 || 0.75862 | 0.41379 | 1.00000 
  26483 |26483 |-793607 | 29 || 0.79310 | 0.41379 | 1.00000 
  26484 |26484 |-793637 | 29 || 0.82759 | 0.41379 | 1.00000 
  26485 |26485 |-793667 | 29 || 0.86207 | 0.41379 | 1.00000 
  26486 |26486 |-793697 | 29 || 0.89655 | 0.41379 | 1.00000 
  26487 |26487 |-793727 | 29 || 0.93103 | 0.41379 | 1.00000 
  26488 |26488 |-793757 | 29 || 0.96552 | 0.41379 | 1.00000 
  26491 |26491 |-793846 | 29 || 0.03448 | 0.44828 | 1.00000 
  26492 |26492 |-793876 | 29 || 0.06897 | 0.44828 | 1.00000 
  26493 |26493 |-793906 | 29 || 0.10345 | 0.44828 | 1.00000 
  26494 |26494 |-793936 | 29 || 0.13793 | 0.44828 | 1.00000 
  26495 |26495 |-793966 | 29 || 0.17241 | 0.44828 | 1.00000 
